--------------------------------------------------
MATCHED DEPARTMENTS
--------------------------------------------------
Academic Affairs | ACAD
Academic Success | ACAD
Achievement & Assessment Inst | AAI
Aerospace Engineering | AE
African/African Amer Studies | AAAS
Air Force ROTC | AIR
American Studies | AMS
Anatomy & Cell Biology | ANTM
Anesthesiology | ANSL
Anthropology | ANTH
Applied Behavioral Science | ABSC
Applied English Center | AEC
Architecture Design | ARCD
Army ROTC | ARMY
Business Administration | BBA
Business | BUS
Cancer Biology | CBIO
Center for East Asian Studies | CEAS
Chemical & Petroleum Engr | C&PE
Chemistry | CHEM
Civil/Environ/Arch Engineering | CEAE
Classics | CLSX
College of Liberal Arts & Sci | CLAS
Communication Studies | COMS
Computational Biology | BINF
Ctr Global & Internatl Studies | GIST
Curriculum & Teaching | C&T
Design | DSGN
East Asian Languages&Cultures | EALC
Ecology & Evolutionary Biology | EEB
Economics | ECON
Ed Leadership & Policy Studies | ELPS
Educational Psychology | EPSY
Electrical Engr & Comp Science | EECS
English | ENG
Film and Media Studies | FMS
French, Francophone & Italian | FREN
Geography & Atmo Science | GEOG
Geology | GEOL
Graduate Studies | GS
Gynecology and Obstetrics | GYNO
HOM History Of Medicine | HPMD
Health Sport &Exercise Science | HSES
History of Art | HA
History | HIST
Indigenous Studies | ISP
Inst for Leadership Studies | LDST
Institute Information Sciences | I2S
Jewish Studies | JWSH
Journalism | JOUR
Latin Amer & Caribbean Studies | LAC
Law School | LAW
Linguistics | LING
Marketing | MKTG
Mathematics | MATH
Mechanical Engineering | ME
Medicinal Chemistry | MDCM
Medicine - Pulmonary Disease | MED
Microbiology | MBIO
Museum Studies | MUSE
Music Administration | MUSC
Music | MUS
NEURO Neuroimaging Faculty | P&TX
Naval ROTC | NAVY
Neurology | NEUR
Ophthalmology | OPTH
Otorhinolaryngology | OTOR
PEDS Behavioral Pediatrics - Grad Assistants | PED
PEDS Behavioral Pediatrics | PED
PEDS General Pediatrics | PED
PEDS Pediatrics Critical Care | PED
PEDS Pediatrics DDBS | PED
PEDS Pediatrics | PED
POPH Population Health Education - Active Adjunct Faculty | POHW
POPH Population Health Faculty | POHW
Pediatrics | PED
Pharmaceutical Chemistry | PHCH
Pharmacology & Toxicology | P&TX
Pharmacology | PHCL
Pharmacy Practice | PHPR
Philosophy | PHIL
Physics and Astronomy | PHSX
Political Science | POLS
Population Health | POHW
Psychology | PSYC
Radiation Oncology | RADO
Religious Studies | REL
Respiratory Care and Diagnostic Science | RESP
SHP Athletic Training - Adjunct Faculty | AHLTH
SHP Athletic Training | AHLTH
SHP Clinic Laboratory Sciences | AHLTH
SHP Clinical Laboratory Sciences - Adjunct Faculty | AHLTH
SHP Clinical Laboratory Sciences | AHLTH
SHP Dietetics and Nutrition - Grad Assistants | AHLTH
SHP Dietetics and Nutrition | AHLTH
SHP Health Information Manage | AHLTH
SHP Health Information Management - Adjunct Faculty) | AHLTH
SHP Health Information Management) | AHLTH
SHP Hearing & Speech Education | AHLTH
SHP Hearing and Speech - Adjunct Faculty | AHLTH
SHP Hearing and Speech | AHLTH
SHP Nurse Anesthesia Education) | AHLTH
SHP Nurse Anesthesia | AHLTH
SHP Occupational Therapy Education - Adjunct Faculty | AHLTH
